drug_id,input_drug_name,target_chembl_id,receptor_composition,alpha_subtype,beta_subtype,gamma_subtype,target_name,target_organism,standard_type,standard_relation,standard_value,standard_units,pchembl_value,assay_chembl_id,assay_type,document_chembl_id,activity_id,record_id,assay_description,document_journal,document_year,source_src_id
diazepam,Diazepam,CHEMBL2094130,alpha2/beta3/gamma2,alpha2,beta3,gamma2,GABA-A receptor; alpha-2/beta-3/gamma-2,Homo sapiens,Efficacy,=,115.0,%,,CHEMBL919091,B,CHEMBL1139460,1844031,630949,Efficacy at human recombinant GABAA alpha-2-beta-3-gamma-2 receptor expressed in Xenopus laevis oocytes by two electrode voltage clamp method relative to GABA,J Med Chem,2005,1
diazepam,Diazepam,CHEMBL2094121,alpha1/beta3/gamma2,alpha1,beta3,gamma2,GABA-A receptor; alpha-1/beta-3/gamma-2,Homo sapiens,Activity,=,345.0,%,,CHEMBL960055,B,CHEMBL1153371,2278236,753846,Activity at GABAA alpha-1-beta-3-gamma-2 receptor expressed in oocytes assessed as stimulation of GABA-induced current at 1 uM relative to control,J Med Chem,2009,1
diazepam,Diazepam,CHEMBL2094130,alpha2/beta3/gamma2,alpha2,beta3,gamma2,GABA-A receptor; alpha-2/beta-3/gamma-2,Homo sapiens,Activity,=,508.0,%,,CHEMBL960056,B,CHEMBL1153371,2278237,753846,Activity at GABAA alpha-2-beta-3-gamma-2 receptor expressed in oocytes assessed as stimulation of GABA-induced current at 1 uM relative to control,J Med Chem,2009,1
diazepam,Diazepam,CHEMBL2094130,alpha2/beta3/gamma2,alpha2,beta3,gamma2,GABA-A receptor; alpha-2/beta-3/gamma-2,Homo sapiens,EC50,=,35.0,nM,7.46,CHEMBL1638614,B,CHEMBL1629416,5118861,1314947,Binding affinity to human alpha2beta3gamma2 GABA receptor expressed in Xenopus laevis oocytes,Bioorg Med Chem,2010,1
diazepam,Diazepam,CHEMBL2095172,alpha1/beta2/gamma2,alpha1,beta2,gamma2,GABA-A receptor; alpha-1/beta-2/gamma-2,Homo sapiens,EC50,=,85.0,nM,7.07,CHEMBL1638613,B,CHEMBL1629416,5118869,1314947,Binding affinity to human alpha1beta2gamma2 GABA receptor expressed in Xenopus laevis oocytes,Bioorg Med Chem,2010,1
diazepam,Diazepam,CHEMBL2095172,alpha1/beta2/gamma2,alpha1,beta2,gamma2,GABA-A receptor; alpha-1/beta-2/gamma-2,Homo sapiens,Activity,=,192.0,%,,CHEMBL1638608,B,CHEMBL1629416,5118876,1314947,Positive allosteric modulation of human alpha1beta2gamma2 GABA receptor expressed in Xenopus laevis oocytes at 1 uM,Bioorg Med Chem,2010,1
diazepam,Diazepam,CHEMBL2094130,alpha2/beta3/gamma2,alpha2,beta3,gamma2,GABA-A receptor; alpha-2/beta-3/gamma-2,Homo sapiens,Activity,=,177.0,%,,CHEMBL1638609,B,CHEMBL1629416,5118880,1314947,Positive allosteric modulation of human alpha2beta3gamma2 GABA receptor expressed in Xenopus laevis oocytes at 1 uM,Bioorg Med Chem,2010,1
diazepam,Diazepam,CHEMBL2094121,alpha1/beta3/gamma2,alpha1,beta3,gamma2,GABA-A receptor; alpha-1/beta-3/gamma-2,Homo sapiens,Activity,=,216.0,%,,CHEMBL4351505,A,CHEMBL4350959,19039236,3176269,Positive allosteric modulation of human GABAA alpha1/beta3/gamma2 expressed in HEK293 cells assessed as increase in GABA-stimulated chloride current response at 100 times Ki measured after 15 secs by QPatch electrophysiology method relative to GABA,J Med Chem,2019,1
diazepam,Diazepam,CHEMBL2095172,alpha1/beta2/gamma2,alpha1,beta2,gamma2,GABA-A receptor; alpha-1/beta-2/gamma-2,Homo sapiens,Activity,>,200.0,%,,CHEMBL4716913,B,CHEMBL4715701,22823128,3544766,Allosteric modulation of GABAA alpha1beta2gamma2 (unknown origin) expressed in Xenopus oocytes assessed as potentiation of GABA-induced current response at 0.1 uM at -80 mV holding potential incubated for 3 mins by two electrode voltage clamp method relative to control,Bioorg Med Chem,2016,1
diazepam,Diazepam,CHEMBL2095172,alpha1/beta2/gamma2,alpha1,beta2,gamma2,GABA-A receptor; alpha-1/beta-2/gamma-2,Homo sapiens,EC50,=,100.0,nM,7.00,CHEMBL4716928,B,CHEMBL4715701,22823144,3544766,Allosteric modulation of GABAA alpha1beta2gamma2 (unknown origin) expressed in Xenopus oocytes assessed as potentiation of GABA-induced current response at -80 mV holding potential incubated for 3 mins by two electrode voltage clamp method,Bioorg Med Chem,2016,1
diazepam,Diazepam,CHEMBL2095172,alpha1/beta2/gamma2,alpha1,beta2,gamma2,GABA-A receptor; alpha-1/beta-2/gamma-2,Homo sapiens,Ki,=,14.0,nM,7.85,CHEMBL5146040,B,CHEMBL5143601,24843214,3880480,Displacement of [3H]flunitrazepam from human recombinant alpha1beta2gamma2 GABAA receptor expressed in HEK cell membrane by competitive radioligand binding assay,Bioorg Med Chem Lett,2022,1
diazepam,Diazepam,CHEMBL2095172,alpha1/beta2/gamma2,alpha1,beta2,gamma2,GABA-A receptor; alpha-1/beta-2/gamma-2,Homo sapiens,Activity,,,,,CHEMBL5147905,B,CHEMBL5143681,24851231,3882147,Positive allosteric modulation of GABAA alpha1beta2gamma2 receptor (unknown origin) stably expressed in CHO cells assessed as activation of GABA-induced response at 2 uM in presence of flumazenil by FLIPR assay,J Nat Prod,2022,1
diazepam,Diazepam,CHEMBL2094121,alpha1/beta3/gamma2,alpha1,beta3,gamma2,GABA-A receptor; alpha-1/beta-3/gamma-2,Homo sapiens,Ki,=,31.0,nM,7.51,CHEMBL6080337,B,CHEMBL6078658,29082441,4664399,Displacement of [3H]flumazenil from human recombinant alpha1-beta3-gamma2 GABAA receptors expressed in mouse LTK- cells incubated for 1 hr by liquid scintillation counter analysis,Bioorg Med Chem,2025,1
diazepam,Diazepam,CHEMBL2094130,alpha2/beta3/gamma2,alpha2,beta3,gamma2,GABA-A receptor; alpha-2/beta-3/gamma-2,Homo sapiens,Ki,=,22.0,nM,7.66,CHEMBL6080338,B,CHEMBL6078658,29082452,4664399,Displacement of [3H]flumazenil from human recombinant alpha2-beta3-gamma2 GABAA receptors expressed in mouse LTK- cells incubated for 1 hr by liquid scintillation counter analysis,Bioorg Med Chem,2025,1
diazepam,Diazepam,CHEMBL2095172,alpha1/beta2/gamma2,alpha1,beta2,gamma2,GABA-A receptor; alpha-1/beta-2/gamma-2,Homo sapiens,Activity,=,230.0,%,,CHEMBL6081996,B,CHEMBL6078707,29089227,4665695,Positive allosteric modulation of synaptic human alpha1beta2gamma2 GABA-A receptor expressed in HEK293 cells assessed as fold increase in GABA-induced current amplitude at 1 uM incubated for 7 sec at -90 mV holding potential by Qpatch assay relative to GABA alone,J Med Chem,2024,1
diazepam,Diazepam,CHEMBL2094130,alpha2/beta3/gamma2,alpha2,beta3,gamma2,GABA-A receptor; alpha-2/beta-3/gamma-2,Homo sapiens,Activity,=,212.67,%,,CHEMBL6081998,B,CHEMBL6078707,29089238,4665695,Positive allosteric modulation of alpha2beta3gamma2 GABA-A receptor (unknown origin) assessed as fold increase in GABA-induced current amplitude at 1 uM relative to GABA alone,J Med Chem,2024,1
diazepam,Diazepam,CHEMBL2111413,alpha2/beta2/gamma2,alpha2,beta2,gamma2,GABA A receptor alpha-2/beta-2/gamma-2,Homo sapiens,Ki,=,20.0,nM,7.70,CHEMBL5146041,B,CHEMBL5143601,24843235,3880480,Displacement of [3H]flunitrazepam from human recombinant alpha2beta2gamma2 GABAA receptor expressed in HEK cell membrane by competitive radioligand binding assay,Bioorg Med Chem Lett,2022,1
alprazolam,Alprazolam,CHEMBL2095172,alpha1/beta2/gamma2,alpha1,beta2,gamma2,GABA-A receptor; alpha-1/beta-2/gamma-2,Homo sapiens,Ki,=,0.8,nM,9.10,CHEMBL5146040,B,CHEMBL5143601,24843226,3880492,Displacement of [3H]flunitrazepam from human recombinant alpha1beta2gamma2 GABAA receptor expressed in HEK cell membrane by competitive radioligand binding assay,Bioorg Med Chem Lett,2022,1
alprazolam,Alprazolam,CHEMBL2111413,alpha2/beta2/gamma2,alpha2,beta2,gamma2,GABA A receptor alpha-2/beta-2/gamma-2,Homo sapiens,Ki,=,0.6,nM,9.22,CHEMBL5146041,B,CHEMBL5143601,24843247,3880492,Displacement of [3H]flunitrazepam from human recombinant alpha2beta2gamma2 GABAA receptor expressed in HEK cell membrane by competitive radioligand binding assay,Bioorg Med Chem Lett,2022,1
triazolam,Triazolam,CHEMBL2094121,alpha1/beta3/gamma2,alpha1,beta3,gamma2,GABA-A receptor; alpha-1/beta-3/gamma-2,Homo sapiens,Ki,=,0.8,nM,9.10,CHEMBL678329,B,CHEMBL1132940,599586,343980,Binding affinity for human recombinant gamma-aminobutyric-acid (GABA) A receptor alpha-1-beta-3-gamma-2,J Med Chem,2000,1
triazolam,Triazolam,CHEMBL2094130,alpha2/beta3/gamma2,alpha2,beta3,gamma2,GABA-A receptor; alpha-2/beta-3/gamma-2,Homo sapiens,Ki,=,0.59,nM,9.23,CHEMBL681248,B,CHEMBL1132940,599587,343980,Binding affinity to human recombinant gamma-aminobutyric-acid (GABA) A receptor alpha-2-beta-3-gamma-2,J Med Chem,2000,1
zolpidem,Zolpidem,CHEMBL2095172,alpha1/beta2/gamma2,alpha1,beta2,gamma2,GABA-A receptor; alpha-1/beta-2/gamma-2,Homo sapiens,IC50,=,46.3,nM,7.33,CHEMBL678631,B,CHEMBL1130521,574083,131355,Inhibition of [3H]flumazenil binding to recombinant GABA-A receptor alpha-1-beta-2-gamma-2 subunits,Bioorg Med Chem Lett,1997,1
zolpidem,Zolpidem,CHEMBL2095172,alpha1/beta2/gamma2,alpha1,beta2,gamma2,GABA-A receptor; alpha-1/beta-2/gamma-2,Homo sapiens,IC50,>=,10000.0,nM,,CHEMBL678631,B,CHEMBL1130521,574084,131355,Inhibition of [3H]flumazenil binding to recombinant GABA-A receptor alpha-1-beta-2-gamma-2 subunits,Bioorg Med Chem Lett,1997,1
zolpidem,Zolpidem,CHEMBL2094121,alpha1/beta3/gamma2,alpha1,beta3,gamma2,GABA-A receptor; alpha-1/beta-3/gamma-2,Homo sapiens,Ki,=,27.0,nM,7.57,CHEMBL676826,B,CHEMBL1149126,595754,88527,Binding affinity for human GABA-A receptor alpha-4-beta-3-gamma-2 subunits in L(tk-) cells,J Med Chem,2004,1
zolpidem,Zolpidem,CHEMBL2094130,alpha2/beta3/gamma2,alpha2,beta3,gamma2,GABA-A receptor; alpha-2/beta-3/gamma-2,Homo sapiens,Ki,=,160.0,nM,6.80,CHEMBL681841,B,CHEMBL1149126,595755,88527,Binding affinity for human GABA-A receptor alpha-2-beta-3-gamma-2 subunits in L(tk-) cells,J Med Chem,2004,1
zolpidem,Zolpidem,CHEMBL2094121,alpha1/beta3/gamma2,alpha1,beta3,gamma2,GABA-A receptor; alpha-1/beta-3/gamma-2,Homo sapiens,Ki,=,26.7,nM,7.57,CHEMBL678329,B,CHEMBL1132940,618407,343983,Binding affinity for human recombinant gamma-aminobutyric-acid (GABA) A receptor alpha-1-beta-3-gamma-2,J Med Chem,2000,1
zolpidem,Zolpidem,CHEMBL2094130,alpha2/beta3/gamma2,alpha2,beta3,gamma2,GABA-A receptor; alpha-2/beta-3/gamma-2,Homo sapiens,Ki,=,156.0,nM,6.81,CHEMBL681248,B,CHEMBL1132940,618408,343983,Binding affinity to human recombinant gamma-aminobutyric-acid (GABA) A receptor alpha-2-beta-3-gamma-2,J Med Chem,2000,1
zolpidem,Zolpidem,CHEMBL2094121,alpha1/beta3/gamma2,alpha1,beta3,gamma2,GABA-A receptor; alpha-1/beta-3/gamma-2,Homo sapiens,Ki,=,52.1,nM,7.28,CHEMBL677034,B,CHEMBL1148356,662350,230416,Binding affinity towards human alpha-1-beta-3-gamma-2 GABA-A receptor using [3H]Ro-151788 expressed in L(tk-) cells,J Med Chem,2004,1
zolpidem,Zolpidem,CHEMBL2094121,alpha1/beta3/gamma2,alpha1,beta3,gamma2,GABA-A receptor; alpha-1/beta-3/gamma-2,Homo sapiens,Efficacy,=,133.0,%,,CHEMBL677029,F,CHEMBL1148356,662351,230416,Percent change in electrophysiological response in Xenopus oocytes expressing Alpha1-beta3-gamma2 GABA-A receptor,J Med Chem,2004,1
zolpidem,Zolpidem,CHEMBL2094130,alpha2/beta3/gamma2,alpha2,beta3,gamma2,GABA-A receptor; alpha-2/beta-3/gamma-2,Homo sapiens,Ki,=,255.1,nM,6.59,CHEMBL682709,B,CHEMBL1148356,662352,230416,Binding affinity towards human gamma-aminobutyric-acid A receptor alpha-2-beta-3-gamma-2 using [3H]Ro-151788 expressed in L(tk-) cells,J Med Chem,2004,1
zolpidem,Zolpidem,CHEMBL2094130,alpha2/beta3/gamma2,alpha2,beta3,gamma2,GABA-A receptor; alpha-2/beta-3/gamma-2,Homo sapiens,Efficacy,=,187.0,%,,CHEMBL877823,F,CHEMBL1148356,662353,230416,Percent change in electrophysiological response in Xenopus oocytes expressing Alpha2-beta3-gamma2 GABA-A receptor,J Med Chem,2004,1
zolpidem,Zolpidem,CHEMBL2094121,alpha1/beta3/gamma2,alpha1,beta3,gamma2,GABA-A receptor; alpha-1/beta-3/gamma-2,Homo sapiens,Ki,=,26.7,nM,7.57,CHEMBL822162,B,CHEMBL1131013,886261,154146,Binding affinity measured using LtK- cell membranes expressing GABA alpha-1-beta-3-gamma-2 receptor,J Med Chem,1998,1
zolpidem,Zolpidem,CHEMBL2094130,alpha2/beta3/gamma2,alpha2,beta3,gamma2,GABA-A receptor; alpha-2/beta-3/gamma-2,Homo sapiens,Ki,=,156.0,nM,6.81,CHEMBL824294,B,CHEMBL1131013,886262,154146,Binding affinity measured using LtK- cell membranes expressing GABA alpha-2-beta-3-gamma-2 receptor,J Med Chem,1998,1
zolpidem,Zolpidem,CHEMBL2094121,alpha1/beta3/gamma2,alpha1,beta3,gamma2,GABA-A receptor; alpha-1/beta-3/gamma-2,Homo sapiens,Ki,=,27.0,nM,7.57,CHEMBL829006,B,CHEMBL1142695,1412600,363169,Inhibition of [3H]Ro-151788 binding to recombinant human gamma-aminobutyric-acid A receptor alpha-1-beta-3-gamma-2 subtype expressed in L (tk-) cells,J Med Chem,2005,1
zolpidem,Zolpidem,CHEMBL2094130,alpha2/beta3/gamma2,alpha2,beta3,gamma2,GABA-A receptor; alpha-2/beta-3/gamma-2,Homo sapiens,Ki,=,103.0,nM,6.99,CHEMBL829005,B,CHEMBL1142695,1412601,363169,Inhibition of [3H]Ro-151788 binding to recombinant human gamma-aminobutyric acid A receptor alpha-2-beta-3-gamma-2 subtype expressed in L (tk-) cells,J Med Chem,2005,1
zolpidem,Zolpidem,CHEMBL2094121,alpha1/beta3/gamma2,alpha1,beta3,gamma2,GABA-A receptor; alpha-1/beta-3/gamma-2,Homo sapiens,Ki,=,27.0,nM,7.57,CHEMBL919087,B,CHEMBL1139460,1844041,630950,Displacement of [3H]Ro 15-1788 from human recombinant GABAA alpha-1-beta-3-gamma-2 receptor expressed in L(tk-) cells,J Med Chem,2005,1
zolpidem,Zolpidem,CHEMBL2094130,alpha2/beta3/gamma2,alpha2,beta3,gamma2,GABA-A receptor; alpha-2/beta-3/gamma-2,Homo sapiens,Ki,=,160.0,nM,6.80,CHEMBL919088,B,CHEMBL1139460,1844050,630950,Displacement of [3H]Ro 15-1788 from human recombinant GABAA alpha-2-beta-3-gamma-2 receptor expressed in L(tk-) cells,J Med Chem,2005,1
