evidence_id,drug_id,input_drug_name,molecule_chembl_id,gtopdb_ligand_id,receptor_composition,target_id,target_name,target_type,species,metric,value,value_low,value_high,unit,assay,reference_id,PMID,DOI,reference,source_database,source_record_id,alpha_subtype,beta_subtype,gamma_subtype,other_subunits,duplicate_group_id,duplicate_candidate
chembl:60,diazepam,Diazepam,CHEMBL12,,generic_gabaa,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,Rattus norvegicus,Ki,14.0,,,nM,CHEMBL648647,CHEMBL1134955,,,CHEMBL1134955 Bioorg Med Chem Lett 2002,ChEMBL,551295,,,,,,False
chembl:61,diazepam,Diazepam,CHEMBL12,,generic_gabaa,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,Rattus norvegicus,IC50,20.6,,,nM,CHEMBL652736,CHEMBL1126709,,,CHEMBL1126709 J Med Chem 1993,ChEMBL,582658,,,,,,False
chembl:62,diazepam,Diazepam,CHEMBL12,,generic_gabaa,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,Rattus norvegicus,Ratio,1.78,,,,CHEMBL848812,CHEMBL1126709,,,CHEMBL1126709 J Med Chem 1993,ChEMBL,582659,,,,,,False
chembl:63,diazepam,Diazepam,CHEMBL12,,alpha1/beta3/gamma2,CHEMBL2094121,GABA-A receptor; alpha-1/beta-3/gamma-2,PROTEIN COMPLEX,Homo sapiens,Ki,14.0,,,nM,CHEMBL678329,CHEMBL1132940,,,CHEMBL1132940 J Med Chem 2000,ChEMBL,599580,alpha1,beta3,gamma2,,,False
chembl:64,diazepam,Diazepam,CHEMBL12,,alpha2/beta3/gamma2,CHEMBL2094130,GABA-A receptor; alpha-2/beta-3/gamma-2,PROTEIN COMPLEX,Homo sapiens,Ki,20.0,,,nM,CHEMBL681248,CHEMBL1132940,,,CHEMBL1132940 J Med Chem 2000,ChEMBL,599581,alpha2,beta3,gamma2,,,False
chembl:65,diazepam,Diazepam,CHEMBL12,,alpha3/beta3/gamma2,CHEMBL2094120,GABA-A receptor; alpha-3/beta-3/gamma-2,PROTEIN COMPLEX,Homo sapiens,Ki,15.0,,,nM,CHEMBL682251,CHEMBL1132940,,,CHEMBL1132940 J Med Chem 2000,ChEMBL,599582,alpha3,beta3,gamma2,,,False
chembl:66,diazepam,Diazepam,CHEMBL12,,alpha5/beta3/gamma2,CHEMBL2094122,GABA-A receptor; alpha-5/beta-3/gamma-2,PROTEIN COMPLEX,Homo sapiens,Ki,11.0,,,nM,CHEMBL681480,CHEMBL1132940,,,CHEMBL1132940 J Med Chem 2000,ChEMBL,599583,alpha5,beta3,gamma2,,,False
chembl:67,diazepam,Diazepam,CHEMBL12,,alpha6/beta3/gamma2,CHEMBL2095190,GABA-A receptor; alpha-6/beta-3/gamma-2,PROTEIN COMPLEX,Homo sapiens,Ki,3000.0,,,nM,CHEMBL683045,CHEMBL1132940,,,CHEMBL1132940 J Med Chem 2000,ChEMBL,599584,alpha6,beta3,gamma2,,,False
chembl:68,diazepam,Diazepam,CHEMBL12,,alpha1/beta3/gamma2,CHEMBL2094121,GABA-A receptor; alpha-1/beta-3/gamma-2,PROTEIN COMPLEX,Homo sapiens,Ki,14.0,,,nM,CHEMBL676826,CHEMBL1149126,,,CHEMBL1149126 J Med Chem 2004,ChEMBL,604850,alpha1,beta3,gamma2,,,False
chembl:69,diazepam,Diazepam,CHEMBL12,,alpha2/beta3/gamma2,CHEMBL2094130,GABA-A receptor; alpha-2/beta-3/gamma-2,PROTEIN COMPLEX,Homo sapiens,Ki,20.0,,,nM,CHEMBL681841,CHEMBL1149126,,,CHEMBL1149126 J Med Chem 2004,ChEMBL,604851,alpha2,beta3,gamma2,,,False
chembl:70,diazepam,Diazepam,CHEMBL12,,alpha3/beta3/gamma2,CHEMBL2094120,GABA-A receptor; alpha-3/beta-3/gamma-2,PROTEIN COMPLEX,Homo sapiens,Ki,15.0,,,nM,CHEMBL678741,CHEMBL1149126,,,CHEMBL1149126 J Med Chem 2004,ChEMBL,604852,alpha3,beta3,gamma2,,,False
chembl:71,diazepam,Diazepam,CHEMBL12,,alpha5/beta3/gamma2,CHEMBL2094122,GABA-A receptor; alpha-5/beta-3/gamma-2,PROTEIN COMPLEX,Homo sapiens,Ki,11.0,,,nM,CHEMBL678745,CHEMBL1149126,,,CHEMBL1149126 J Med Chem 2004,ChEMBL,604853,alpha5,beta3,gamma2,,,False
chembl:72,diazepam,Diazepam,CHEMBL12,,alpha5/beta3/gamma2,CHEMBL2094122,GABA-A receptor; alpha-5/beta-3/gamma-2,PROTEIN COMPLEX,Homo sapiens,Ki,11.2,,,nM,CHEMBL680669,CHEMBL1148356,,,CHEMBL1148356 J Med Chem 2004,ChEMBL,667542,alpha5,beta3,gamma2,,,False
chembl:73,diazepam,Diazepam,CHEMBL12,,alpha5/beta3/gamma2,CHEMBL2094122,GABA-A receptor; alpha-5/beta-3/gamma-2,PROTEIN COMPLEX,Homo sapiens,Efficacy,73.0,,,%,CHEMBL680667,CHEMBL1148356,,,CHEMBL1148356 J Med Chem 2004,ChEMBL,667543,alpha5,beta3,gamma2,,,False
chembl:74,diazepam,Diazepam,CHEMBL12,,alpha1/beta3/gamma2,CHEMBL2094121,GABA-A receptor; alpha-1/beta-3/gamma-2,PROTEIN COMPLEX,Homo sapiens,Ki,14.3,,,nM,CHEMBL677034,CHEMBL1148356,,,CHEMBL1148356 J Med Chem 2004,ChEMBL,667544,alpha1,beta3,gamma2,,,False
chembl:75,diazepam,Diazepam,CHEMBL12,,alpha1/beta3/gamma2,CHEMBL2094121,GABA-A receptor; alpha-1/beta-3/gamma-2,PROTEIN COMPLEX,Homo sapiens,Efficacy,156.0,,,%,CHEMBL677030,CHEMBL1148356,,,CHEMBL1148356 J Med Chem 2004,ChEMBL,667545,alpha1,beta3,gamma2,,,False
