drug_id,input_drug_name,target_chembl_id,receptor_composition,alpha_subtype,beta_subtype,standard_type,standard_relation,standard_value,standard_units,pchembl_value,assay_chembl_id,assay_type,document_chembl_id,activity_id,record_id
zolpidem,Zolpidem,CHEMBL2094121,alpha1/beta3/gamma2,alpha1,beta3,Ki,=,26.7,nM,7.57,CHEMBL678329,B,CHEMBL1132940,618407,343983
zolpidem,Zolpidem,CHEMBL2094130,alpha2/beta3/gamma2,alpha2,beta3,Ki,=,156.0,nM,6.81,CHEMBL681248,B,CHEMBL1132940,618408,343983
zolpidem,Zolpidem,CHEMBL2094121,alpha1/beta3/gamma2,alpha1,beta3,Ki,=,52.1,nM,7.28,CHEMBL677034,B,CHEMBL1148356,662350,230416
zolpidem,Zolpidem,CHEMBL2094121,alpha1/beta3/gamma2,alpha1,beta3,Efficacy,=,133.0,%,,CHEMBL677029,F,CHEMBL1148356,662351,230416
zolpidem,Zolpidem,CHEMBL2094130,alpha2/beta3/gamma2,alpha2,beta3,Ki,=,255.1,nM,6.59,CHEMBL682709,B,CHEMBL1148356,662352,230416
zolpidem,Zolpidem,CHEMBL2094130,alpha2/beta3/gamma2,alpha2,beta3,Efficacy,=,187.0,%,,CHEMBL877823,F,CHEMBL1148356,662353,230416
zolpidem,Zolpidem,CHEMBL2094121,alpha1/beta3/gamma2,alpha1,beta3,Ki,=,26.7,nM,7.57,CHEMBL822162,B,CHEMBL1131013,886261,154146
zolpidem,Zolpidem,CHEMBL2094130,alpha2/beta3/gamma2,alpha2,beta3,Ki,=,156.0,nM,6.81,CHEMBL824294,B,CHEMBL1131013,886262,154146
zolpidem,Zolpidem,CHEMBL2094121,alpha1/beta3/gamma2,alpha1,beta3,Ki,=,27.0,nM,7.57,CHEMBL829006,B,CHEMBL1142695,1412600,363169
zolpidem,Zolpidem,CHEMBL2094130,alpha2/beta3/gamma2,alpha2,beta3,Ki,=,103.0,nM,6.99,CHEMBL829005,B,CHEMBL1142695,1412601,363169
zolpidem,Zolpidem,CHEMBL2094121,alpha1/beta3/gamma2,alpha1,beta3,Ki,=,27.0,nM,7.57,CHEMBL919087,B,CHEMBL1139460,1844041,630950
zolpidem,Zolpidem,CHEMBL2094130,alpha2/beta3/gamma2,alpha2,beta3,Ki,=,160.0,nM,6.80,CHEMBL919088,B,CHEMBL1139460,1844050,630950
zolpidem,Zolpidem,CHEMBL2094121,alpha1/beta3/gamma2,alpha1,beta3,Efficacy,=,160.0,%,,CHEMBL919090,B,CHEMBL1139460,1844059,630950
zolpidem,Zolpidem,CHEMBL2094130,alpha2/beta3/gamma2,alpha2,beta3,Efficacy,=,123.0,%,,CHEMBL919091,B,CHEMBL1139460,1844073,630950
zolpidem,Zolpidem,CHEMBL2094121,alpha1/beta3/gamma2,alpha1,beta3,Ki,=,26.7,nM,7.57,CHEMBL1273615,B,CHEMBL1268934,3519533,965419
zolpidem,Zolpidem,CHEMBL2094130,alpha2/beta3/gamma2,alpha2,beta3,Ki,=,156.0,nM,6.81,CHEMBL1273616,B,CHEMBL1268934,3519534,965419
zolpidem,Zolpidem,CHEMBL2095172,alpha1/beta2/gamma2,alpha1,beta2,EC50,=,240.0,nM,6.62,CHEMBL3873362,B,CHEMBL3872231,16823503,2813268
zolpidem,Zolpidem,CHEMBL2095172,alpha1/beta2/gamma2,alpha1,beta2,FC,=,2.5,,,CHEMBL3873363,B,CHEMBL3872231,16823507,2813268
zolpidem,Zolpidem,CHEMBL2111413,alpha2/beta2/gamma2,alpha2,beta2,Efficacy,=,150.0,%,,CHEMBL824293,F,CHEMBL1130157,1106755,197828
zolpidem,Zolpidem,CHEMBL2111413,alpha2/beta2/gamma2,alpha2,beta2,EC50,=,180.0,nM,6.75,CHEMBL824292,F,CHEMBL1130157,1106756,197828
zolpidem,Zolpidem,CHEMBL2111413,alpha2/beta2/gamma2,alpha2,beta2,Ki,=,408.0,nM,6.39,CHEMBL942241,B,CHEMBL1152298,2401380,803082
zaleplon,Zaleplon,CHEMBL2094130,alpha2/beta3/gamma2,alpha2,beta3,EC50,=,1630.0,nM,5.79,CHEMBL2327958,B,CHEMBL2321869,12662653,1850407
zaleplon,Zaleplon,CHEMBL2095172,alpha1/beta2/gamma2,alpha1,beta2,EC50,=,290.0,nM,6.54,CHEMBL2327959,B,CHEMBL2321869,12662654,1850407
