drug_id,input_drug_name,target_label,target_chembl_id,target_pref_name,assay_chembl_id,assay_type,document_chembl_id,standard_type,standard_relation,standard_value,standard_units,pchembl_value,activity_id,record_id
zolpidem,Zolpidem,alpha1_beta3_gamma2,CHEMBL2094121,GABA-A receptor; alpha-1/beta-3/gamma-2,CHEMBL919087,B,CHEMBL1139460,Ki,=,27.0,nM,7.57,1844041,630950
zolpidem,Zolpidem,alpha1_beta3_gamma2,CHEMBL2094121,GABA-A receptor; alpha-1/beta-3/gamma-2,CHEMBL677034,B,CHEMBL1148356,Ki,=,52.1,nM,7.28,662350,230416
zolpidem,Zolpidem,alpha2_beta3_gamma2,CHEMBL2094130,GABA-A receptor; alpha-2/beta-3/gamma-2,CHEMBL919091,B,CHEMBL1139460,Efficacy,=,123.0,%,,1844073,630950
zolpidem,Zolpidem,alpha2_beta3_gamma2,CHEMBL2094130,GABA-A receptor; alpha-2/beta-3/gamma-2,CHEMBL877823,F,CHEMBL1148356,Efficacy,=,187.0,%,,662353,230416
zolpidem,Zolpidem,alpha2_beta3_gamma2,CHEMBL2094130,GABA-A receptor; alpha-2/beta-3/gamma-2,CHEMBL829005,B,CHEMBL1142695,Ki,=,103.0,nM,6.99,1412601,363169
zolpidem,Zolpidem,alpha2_beta3_gamma2,CHEMBL2094130,GABA-A receptor; alpha-2/beta-3/gamma-2,CHEMBL681248,B,CHEMBL1132940,Ki,=,156.0,nM,6.81,618408,343983
zolpidem,Zolpidem,alpha2_beta3_gamma2,CHEMBL2094130,GABA-A receptor; alpha-2/beta-3/gamma-2,CHEMBL824294,B,CHEMBL1131013,Ki,=,156.0,nM,6.81,886262,154146
zolpidem,Zolpidem,alpha2_beta3_gamma2,CHEMBL2094130,GABA-A receptor; alpha-2/beta-3/gamma-2,CHEMBL1273616,B,CHEMBL1268934,Ki,=,156.0,nM,6.81,3519534,965419
zolpidem,Zolpidem,alpha2_beta3_gamma2,CHEMBL2094130,GABA-A receptor; alpha-2/beta-3/gamma-2,CHEMBL681841,B,CHEMBL1149126,Ki,=,160.0,nM,6.80,595755,88527
zolpidem,Zolpidem,alpha2_beta3_gamma2,CHEMBL2094130,GABA-A receptor; alpha-2/beta-3/gamma-2,CHEMBL919088,B,CHEMBL1139460,Ki,=,160.0,nM,6.80,1844050,630950
zolpidem,Zolpidem,alpha2_beta3_gamma2,CHEMBL2094130,GABA-A receptor; alpha-2/beta-3/gamma-2,CHEMBL682709,B,CHEMBL1148356,Ki,=,255.1,nM,6.59,662352,230416
