drug,receptor_block,seed,source_file,snapshot_file,sha256,docking_manifest_sha256,archive_member_sha256,n_models,n_result_records,n_valid_records,expected_n_poses,n_issues,file_status
zolpidem,alpha1,2026091902,runs/20260919_0724_10drug_standardized_redocking/raw/archives/zolpidem.tar.gz::zolpidem/alpha1/2026091902/poses.pdbqt,data/pdbqt/zolpidem/alpha1/2026091902/poses.pdbqt,4ce2b8e7d53d7152c8c33fe97102a634d123ec7d794ad01e0cc4daaaa76fdfa9,4ce2b8e7d53d7152c8c33fe97102a634d123ec7d794ad01e0cc4daaaa76fdfa9,4ce2b8e7d53d7152c8c33fe97102a634d123ec7d794ad01e0cc4daaaa76fdfa9,9,9,9,9,0,ok
zolpidem,alpha1,2026091903,runs/20260919_0724_10drug_standardized_redocking/raw/archives/zolpidem.tar.gz::zolpidem/alpha1/2026091903/poses.pdbqt,data/pdbqt/zolpidem/alpha1/2026091903/poses.pdbqt,5c17141ea3f787e9ff8bc5766c9a61c53eb540d7bed7df393fc8472d9823d698,5c17141ea3f787e9ff8bc5766c9a61c53eb540d7bed7df393fc8472d9823d698,5c17141ea3f787e9ff8bc5766c9a61c53eb540d7bed7df393fc8472d9823d698,9,9,9,9,0,ok
zolpidem,alpha1,2026091904,runs/20260919_0724_10drug_standardized_redocking/raw/archives/zolpidem.tar.gz::zolpidem/alpha1/2026091904/poses.pdbqt,data/pdbqt/zolpidem/alpha1/2026091904/poses.pdbqt,cbe42c844387478eae0491fe52031e7ce683c9297fa799319263920f8d0838a4,cbe42c844387478eae0491fe52031e7ce683c9297fa799319263920f8d0838a4,cbe42c844387478eae0491fe52031e7ce683c9297fa799319263920f8d0838a4,9,9,9,9,0,ok
zolpidem,alpha1,2026091905,runs/20260919_0724_10drug_standardized_redocking/raw/archives/zolpidem.tar.gz::zolpidem/alpha1/2026091905/poses.pdbqt,data/pdbqt/zolpidem/alpha1/2026091905/poses.pdbqt,74b35d37f07699d4709f5d8249e47681f3ceca1d4581ef26bae3f862f0ad68de,74b35d37f07699d4709f5d8249e47681f3ceca1d4581ef26bae3f862f0ad68de,74b35d37f07699d4709f5d8249e47681f3ceca1d4581ef26bae3f862f0ad68de,9,9,9,9,0,ok
zolpidem,alpha2,2026091901,runs/20260919_0724_10drug_standardized_redocking/raw/archives/zolpidem.tar.gz::zolpidem/alpha2/2026091901/poses.pdbqt,data/pdbqt/zolpidem/alpha2/2026091901/poses.pdbqt,8b987196550914a54c6bafcf771fd59476d2cee729d7a8150ed48e576dad71f6,8b987196550914a54c6bafcf771fd59476d2cee729d7a8150ed48e576dad71f6,8b987196550914a54c6bafcf771fd59476d2cee729d7a8150ed48e576dad71f6,9,9,9,9,0,ok
zolpidem,alpha2,2026091902,runs/20260919_0724_10drug_standardized_redocking/raw/archives/zolpidem.tar.gz::zolpidem/alpha2/2026091902/poses.pdbqt,data/pdbqt/zolpidem/alpha2/2026091902/poses.pdbqt,6f26bfe68699340025ec23824202a7bd443073cfed14b75d26467f511191799a,6f26bfe68699340025ec23824202a7bd443073cfed14b75d26467f511191799a,6f26bfe68699340025ec23824202a7bd443073cfed14b75d26467f511191799a,9,9,9,9,0,ok
zolpidem,alpha2,2026091903,runs/20260919_0724_10drug_standardized_redocking/raw/archives/zolpidem.tar.gz::zolpidem/alpha2/2026091903/poses.pdbqt,data/pdbqt/zolpidem/alpha2/2026091903/poses.pdbqt,d9c69c680ab0c7af92fad87eff196f396081c79328a7d936e8586e995465e91b,d9c69c680ab0c7af92fad87eff196f396081c79328a7d936e8586e995465e91b,d9c69c680ab0c7af92fad87eff196f396081c79328a7d936e8586e995465e91b,9,9,9,9,0,ok
zolpidem,alpha2,2026091904,runs/20260919_0724_10drug_standardized_redocking/raw/archives/zolpidem.tar.gz::zolpidem/alpha2/2026091904/poses.pdbqt,data/pdbqt/zolpidem/alpha2/2026091904/poses.pdbqt,d4ebbb8ede96e73cdc0104ac27ee0bc9450eb862eec3f73ff64767dfbdcebd08,d4ebbb8ede96e73cdc0104ac27ee0bc9450eb862eec3f73ff64767dfbdcebd08,d4ebbb8ede96e73cdc0104ac27ee0bc9450eb862eec3f73ff64767dfbdcebd08,9,9,9,9,0,ok
zolpidem,alpha2,2026091905,runs/20260919_0724_10drug_standardized_redocking/raw/archives/zolpidem.tar.gz::zolpidem/alpha2/2026091905/poses.pdbqt,data/pdbqt/zolpidem/alpha2/2026091905/poses.pdbqt,e758609edd4fd6ede0335b686c012231065b1e58d17d85db04085779a76536a5,e758609edd4fd6ede0335b686c012231065b1e58d17d85db04085779a76536a5,e758609edd4fd6ede0335b686c012231065b1e58d17d85db04085779a76536a5,9,9,9,9,0,ok
lorazepam,alpha1,2026091901,runs/20260919_0724_10drug_standardized_redocking/raw/archives/lorazepam.tar.gz::lorazepam/alpha1/2026091901/poses.pdbqt,data/pdbqt/lorazepam/alpha1/2026091901/poses.pdbqt,2acdc0d985af7830cbdb3054e526645f0a70f45e96327e1687b8fbc2f133ef10,2acdc0d985af7830cbdb3054e526645f0a70f45e96327e1687b8fbc2f133ef10,2acdc0d985af7830cbdb3054e526645f0a70f45e96327e1687b8fbc2f133ef10,9,9,9,9,0,ok
