drug,phenotype_axis,assay_name,species,strain,sex,administration_route,dose,dose_unit,observation_time,outcome_name,raw_value,raw_unit,control_value,sample_size,error_value,error_type,study_id,doi,pmid,source_url,source_table_figure,extraction_method,evidence_quality,notes,vehicle,co_treatment,acute_chronic,original_record,reported_direction,result_available,evidence_id
zaleplon,P2,loaded_grid,mouse,NA,NA,NA,NA,mg/kg,NA,qualitative_report,NA,qualitative,NA,NA,NA,NA,Sanger1996,10.1016/0014-2999(96)00510-9,8905326,https://pubmed.ncbi.nlm.nih.gov/8905326/,abstract,manual primary-source paraphrase,qualitative_primary,Abstract only. Loaded grid assigned P2 with mixed motor/strength construct warning; no exact dose/time extracted.,NA,NA,NA,NA,deficit / suppression reported,True,Y0055
zaleplon,P3,locomotor_activity,mouse,NA,NA,NA,NA,mg/kg,NA,qualitative_report,NA,qualitative,NA,NA,NA,NA,Sanger1996,10.1016/0014-2999(96)00510-9,8905326,https://pubmed.ncbi.nlm.nih.gov/8905326/,abstract,manual primary-source paraphrase,qualitative_primary,Abstract only. Loaded grid assigned P2 with mixed motor/strength construct warning; no exact dose/time extracted.,NA,NA,NA,NA,deficit / suppression reported,True,Y0056
diazepam,P1,rotarod,mouse,NA,NA,NA,NA,mg/kg,NA,qualitative_report,NA,qualitative,NA,NA,NA,NA,Stanley2005,10.1177/0269881105051524,15888506,https://pubmed.ncbi.nlm.nih.gov/15888506/,abstract,manual primary-source paraphrase,qualitative_primary,Receptor occupancy percentages are not phenotype scores and not normalized.,NA,NA,NA,NA,impairment reported,True,Y0057
diazepam,P1,beam_walking,mouse,NA,NA,NA,NA,mg/kg,NA,qualitative_report,NA,qualitative,NA,NA,NA,NA,Stanley2005,10.1177/0269881105051524,15888506,https://pubmed.ncbi.nlm.nih.gov/15888506/,abstract,manual primary-source paraphrase,qualitative_primary,Receptor occupancy percentages are not phenotype scores and not normalized.,NA,NA,NA,NA,impairment reported,True,Y0058
lorazepam,P1,rotarod,mouse,NA,NA,NA,NA,mg/kg,NA,qualitative_report,NA,qualitative,NA,NA,NA,NA,Stanley2005,10.1177/0269881105051524,15888506,https://pubmed.ncbi.nlm.nih.gov/15888506/,abstract,manual primary-source paraphrase,qualitative_primary,Receptor occupancy percentages are not phenotype scores and not normalized.,NA,NA,NA,NA,impairment reported,True,Y0059
lorazepam,P1,beam_walking,mouse,NA,NA,NA,NA,mg/kg,NA,qualitative_report,NA,qualitative,NA,NA,NA,NA,Stanley2005,10.1177/0269881105051524,15888506,https://pubmed.ncbi.nlm.nih.gov/15888506/,abstract,manual primary-source paraphrase,qualitative_primary,Receptor occupancy percentages are not phenotype scores and not normalized.,NA,NA,NA,NA,impairment reported,True,Y0060
clonazepam,P3,open_field,mouse,NA,NA,oral,NA,mg/kg,NA,qualitative_report,NA,qualitative,NA,NA,NA,NA,Ono1976,10.1254/fpj.72.297,986989,https://pubmed.ncbi.nlm.nih.gov/986989/,abstract,manual primary-source paraphrase,qualitative_primary,Mouse-specific abstract result; rat result not transferred.,NA,NA,NA,NA,locomotion reduced,True,Y0061
clonazepam,P1,rotarod,mouse,CD-1,male,intraperitoneal,2.0,mg/kg,multiple times up to 14 h,qualitative_report,NA,qualitative,NA,NA,NA,NA,Barnhill1990,NA,2162948,https://pubmed.ncbi.nlm.nih.gov/2162948/,abstract,manual primary-source paraphrase,qualitative_primary,"Age groups 6 weeks, 6 months, 1 and 2 years; no pooled numerical score.",NA,NA,NA,NA,ataxia greater and longer in aged animals,True,Y0062
temazepam,P3,locomotor_activity,mouse,NA,NA,oral,10.0,mg/kg,NA,qualitative_report,NA,qualitative,NA,NA,NA,NA,Marshall1997,10.1016/s0091-3057(96)00132-3,9264062,https://pubmed.ncbi.nlm.nih.gov/9264062/,abstract,manual primary-source paraphrase,qualitative_primary,"Chronic regimen dose, not verified acute challenge dose; excluded from acute quantitative comparisons.",NA,NA,daily for 7 days; acute challenge,NA,tolerance to sedative effect reported,True,Y0063
midazolam,P4,loss_of_righting_reflex,mouse,C57BL/6,male,intraperitoneal,90.0,mg/kg,within 10 min,LORR_count,6.0,positive_mice_count,NA,6.0,NA,NA,Shi2024_PMC11559241,10.1186/s40001-024-02142-6,NA,https://pmc.ncbi.nlm.nih.gov/articles/PMC11559241/,Table1; Animals; drug dose methods,manual primary-source paraphrase,exact_html_table,Juvenile 20-22 day mice. Remimazolam comparator outside fixed 10 drugs; no within-panel Tier1 comparison.,NA,none,acute dose determination,NA,higher fraction = more hypnosis,True,Y0064
midazolam,P4,loss_of_righting_reflex,mouse,C57BL/6,male,intraperitoneal,71.25,mg/kg,within 10 min,LORR_count,5.0,positive_mice_count,NA,6.0,NA,NA,Shi2024_PMC11559241,10.1186/s40001-024-02142-6,NA,https://pmc.ncbi.nlm.nih.gov/articles/PMC11559241/,Table1; Animals; drug dose methods,manual primary-source paraphrase,exact_html_table,Juvenile 20-22 day mice. Remimazolam comparator outside fixed 10 drugs; no within-panel Tier1 comparison.,NA,none,acute dose determination,NA,higher fraction = more hypnosis,True,Y0065
midazolam,P4,loss_of_righting_reflex,mouse,C57BL/6,male,intraperitoneal,58.0,mg/kg,within 10 min,LORR_count,5.0,positive_mice_count,NA,6.0,NA,NA,Shi2024_PMC11559241,10.1186/s40001-024-02142-6,NA,https://pmc.ncbi.nlm.nih.gov/articles/PMC11559241/,Table1; Animals; drug dose methods,manual primary-source paraphrase,exact_html_table,Juvenile 20-22 day mice. Remimazolam comparator outside fixed 10 drugs; no within-panel Tier1 comparison.,NA,none,acute dose determination,NA,higher fraction = more hypnosis,True,Y0066
midazolam,P4,loss_of_righting_reflex,mouse,C57BL/6,male,intraperitoneal,46.56,mg/kg,within 10 min,LORR_count,3.0,positive_mice_count,NA,6.0,NA,NA,Shi2024_PMC11559241,10.1186/s40001-024-02142-6,NA,https://pmc.ncbi.nlm.nih.gov/articles/PMC11559241/,Table1; Animals; drug dose methods,manual primary-source paraphrase,exact_html_table,Juvenile 20-22 day mice. Remimazolam comparator outside fixed 10 drugs; no within-panel Tier1 comparison.,NA,none,acute dose determination,NA,higher fraction = more hypnosis,True,Y0067
midazolam,P4,loss_of_righting_reflex,mouse,C57BL/6,male,intraperitoneal,37.38,mg/kg,within 10 min,LORR_count,2.0,positive_mice_count,NA,6.0,NA,NA,Shi2024_PMC11559241,10.1186/s40001-024-02142-6,NA,https://pmc.ncbi.nlm.nih.gov/articles/PMC11559241/,Table1; Animals; drug dose methods,manual primary-source paraphrase,exact_html_table,Juvenile 20-22 day mice. Remimazolam comparator outside fixed 10 drugs; no within-panel Tier1 comparison.,NA,none,acute dose determination,NA,higher fraction = more hypnosis,True,Y0068
midazolam,P4,loss_of_righting_reflex,mouse,C57BL/6,male,intraperitoneal,30.0,mg/kg,within 10 min,LORR_count,1.0,positive_mice_count,NA,6.0,NA,NA,Shi2024_PMC11559241,10.1186/s40001-024-02142-6,NA,https://pmc.ncbi.nlm.nih.gov/articles/PMC11559241/,Table1; Animals; drug dose methods,manual primary-source paraphrase,exact_html_table,Juvenile 20-22 day mice. Remimazolam comparator outside fixed 10 drugs; no within-panel Tier1 comparison.,NA,none,acute dose determination,NA,higher fraction = more hypnosis,True,Y0069
