drug_id,input_drug_name,molecule_chembl_id,target_alpha1_chembl_id,target_alpha2_chembl_id,alpha1_assay_chembl_id,alpha2_assay_chembl_id,alpha1_document_chembl_id,alpha2_document_chembl_id,same_document,same_standard_type,same_unit,pair_priority,pair_basis,standard_type,alpha1_standard_relation,alpha2_standard_relation,alpha1_standard_value,alpha2_standard_value,standard_units,alpha1_pchembl_value,alpha2_pchembl_value,ki_alpha2_over_alpha1,chembl_version,api_retrieved_at,pair_rank
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL829006,CHEMBL864003,CHEMBL1142695,CHEMBL1148587,False,True,True,2,same_standard_type_unit,Ki,=,=,13.0,6.6,nM,7.89,8.18,0.5076923076923077,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,29
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL829006,CHEMBL853070,CHEMBL1142695,CHEMBL1149444,False,True,True,2,same_standard_type_unit,Ki,=,=,13.0,33.0,nM,7.89,7.48,2.5384615384615383,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,30
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL829006,CHEMBL919088,CHEMBL1142695,CHEMBL1139460,False,True,True,2,same_standard_type_unit,Ki,=,=,13.0,20.0,nM,7.89,7.7,1.5384615384615385,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,31
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL829006,CHEMBL6080338,CHEMBL1142695,CHEMBL6078658,False,True,True,2,same_standard_type_unit,Ki,=,=,13.0,22.0,nM,7.89,7.66,1.6923076923076923,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,32
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL677034,CHEMBL682708,CHEMBL1148356,CHEMBL1133060,False,True,True,2,same_standard_type_unit,Ki,=,=,14.3,6.6,nM,7.84,8.18,0.4615384615384615,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,33
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL677034,CHEMBL681248,CHEMBL1148356,CHEMBL1132940,False,True,True,2,same_standard_type_unit,Ki,=,=,14.3,20.0,nM,7.84,7.7,1.3986013986013985,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,34
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL677034,CHEMBL681841,CHEMBL1148356,CHEMBL1149126,False,True,True,2,same_standard_type_unit,Ki,=,=,14.3,20.0,nM,7.84,7.7,1.3986013986013985,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,35
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL677034,CHEMBL829005,CHEMBL1148356,CHEMBL1142695,False,True,True,2,same_standard_type_unit,Ki,=,=,14.3,6.6,nM,7.84,8.18,0.4615384615384615,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,36
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL677034,CHEMBL864003,CHEMBL1148356,CHEMBL1148587,False,True,True,2,same_standard_type_unit,Ki,=,=,14.3,6.6,nM,7.84,8.18,0.4615384615384615,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,37
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL677034,CHEMBL853070,CHEMBL1148356,CHEMBL1149444,False,True,True,2,same_standard_type_unit,Ki,=,=,14.3,33.0,nM,7.84,7.48,2.3076923076923075,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,38
