target_chembl_id,target_name,target_type,organism,receptor_subtype,target_class
CHEMBL5303741,Gamma-aminobutyric acid receptor subunit alpha-1/alpha-2/beta-2/gamma-2,PROTEIN COMPLEX,Homo sapiens,alpha1/alpha2/beta2/gamma2,composite_target
CHEMBL1907597,GABA-A receptor; GABA-A site (alpha1/beta2 interface),PROTEIN COMPLEX,Homo sapiens,alpha1/beta2,composite_target
CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,Rattus norvegicus,,generic_gabaa_target
CHEMBL2093872,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,Homo sapiens,,generic_gabaa_target
CHEMBL2094107,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,Bos taurus,,generic_gabaa_target
CHEMBL2094120,GABA-A receptor; alpha-3/beta-3/gamma-2,PROTEIN COMPLEX,Homo sapiens,alpha3/beta3/gamma2,composite_target
CHEMBL2094121,GABA-A receptor; alpha-1/beta-3/gamma-2,PROTEIN COMPLEX,Homo sapiens,alpha1/beta3/gamma2,composite_target
CHEMBL2094122,GABA-A receptor; alpha-5/beta-3/gamma-2,PROTEIN COMPLEX,Homo sapiens,alpha5/beta3/gamma2,composite_target
CHEMBL2094130,GABA-A receptor; alpha-2/beta-3/gamma-2,PROTEIN COMPLEX,Homo sapiens,alpha2/beta3/gamma2,composite_target
CHEMBL2094133,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,Mus musculus,,generic_gabaa_target
CHEMBL2095167,GABA-A receptor; alpha-1/beta-2/gamma-2,PROTEIN COMPLEX,Rattus norvegicus,alpha1/beta2/gamma2,composite_target
CHEMBL2095172,GABA-A receptor; alpha-1/beta-2/gamma-2,PROTEIN COMPLEX,Homo sapiens,alpha1/beta2/gamma2,composite_target
CHEMBL2095190,GABA-A receptor; alpha-6/beta-3/gamma-2,PROTEIN COMPLEX,Homo sapiens,alpha6/beta3/gamma2,composite_target
CHEMBL2109243,GABA-A receptor; benzodiazepine site,PROTEIN COMPLEX GROUP,Homo sapiens,,generic_gabaa_target
CHEMBL2109244,GABA-A receptor; agonist GABA site,PROTEIN COMPLEX GROUP,Homo sapiens,,generic_gabaa_target
CHEMBL2364024,GABA-A receptor,PROTEIN COMPLEX GROUP,Sarcoptes scabiei,,generic_gabaa_target
CHEMBL2364025,GABA-A receptor,PROTEIN COMPLEX GROUP,Pediculus humanus,,generic_gabaa_target
CHEMBL2364676,Nematode GABA-A receptor,PROTEIN COMPLEX GROUP,Onchocercidae,,generic_gabaa_target
