structural_feature,clinical_term,secondary,spearman_rho,n_effective,status,included_drugs,excluded_drugs
F08,Coordination abnormal,True,NA,2,insufficient_clinical_coverage_n_lt_3,diazepam;lormetazepam,triazolam;brotizolam
F08,Gait disturbance,True,-0.9486832980505139,4,complete_four_drug,diazepam;triazolam;brotizolam;lormetazepam,
F09,Ataxia,True,NA,4,constant_input,diazepam;triazolam;brotizolam;lormetazepam,
F09,Balance disorder,True,NA,4,constant_input,diazepam;triazolam;brotizolam;lormetazepam,
F09,Coordination abnormal,True,NA,2,insufficient_clinical_coverage_n_lt_3,diazepam;lormetazepam,triazolam;brotizolam
F09,Gait disturbance,True,NA,4,constant_input,diazepam;triazolam;brotizolam;lormetazepam,
F10,Ataxia,True,0.7999999999999999,4,complete_four_drug,diazepam;triazolam;brotizolam;lormetazepam,
F10,Balance disorder,True,0.39999999999999997,4,complete_four_drug,diazepam;triazolam;brotizolam;lormetazepam,
F10,Coordination abnormal,True,NA,2,insufficient_clinical_coverage_n_lt_3,diazepam;lormetazepam,triazolam;brotizolam
F10,Gait disturbance,True,1.0,4,complete_four_drug,diazepam;triazolam;brotizolam;lormetazepam,
F11,Ataxia,True,-0.7999999999999999,4,complete_four_drug,diazepam;triazolam;brotizolam;lormetazepam,
F11,Balance disorder,True,-1.0,4,complete_four_drug,diazepam;triazolam;brotizolam;lormetazepam,
F11,Coordination abnormal,True,NA,2,insufficient_clinical_coverage_n_lt_3,diazepam;lormetazepam,triazolam;brotizolam
F11,Gait disturbance,True,-0.39999999999999997,4,complete_four_drug,diazepam;triazolam;brotizolam;lormetazepam,
F12,Ataxia,True,0.7745966692414834,4,complete_four_drug,diazepam;triazolam;brotizolam;lormetazepam,
F12,Balance disorder,True,0.7745966692414834,4,complete_four_drug,diazepam;triazolam;brotizolam;lormetazepam,
F12,Coordination abnormal,True,NA,2,insufficient_clinical_coverage_n_lt_3,diazepam;lormetazepam,triazolam;brotizolam
F12,Gait disturbance,True,0.7745966692414834,4,complete_four_drug,diazepam;triazolam;brotizolam;lormetazepam,
F13,Ataxia,True,-0.2581988897471611,4,complete_four_drug,diazepam;triazolam;brotizolam;lormetazepam,
F13,Balance disorder,True,0.2581988897471611,4,complete_four_drug,diazepam;triazolam;brotizolam;lormetazepam,
F13,Coordination abnormal,True,NA,2,insufficient_clinical_coverage_n_lt_3,diazepam;lormetazepam,triazolam;brotizolam
F13,Gait disturbance,True,-0.7745966692414834,4,complete_four_drug,diazepam;triazolam;brotizolam;lormetazepam,
F14,Ataxia,True,-0.7999999999999999,4,complete_four_drug,diazepam;triazolam;brotizolam;lormetazepam,
F14,Balance disorder,True,-1.0,4,complete_four_drug,diazepam;triazolam;brotizolam;lormetazepam,
F14,Coordination abnormal,True,NA,2,insufficient_clinical_coverage_n_lt_3,diazepam;lormetazepam,triazolam;brotizolam
F14,Gait disturbance,True,-0.39999999999999997,4,complete_four_drug,diazepam;triazolam;brotizolam;lormetazepam,
F15,Ataxia,True,0.7999999999999999,4,complete_four_drug,diazepam;triazolam;brotizolam;lormetazepam,
F15,Balance disorder,True,0.39999999999999997,4,complete_four_drug,diazepam;triazolam;brotizolam;lormetazepam,
F15,Coordination abnormal,True,NA,2,insufficient_clinical_coverage_n_lt_3,diazepam;lormetazepam,triazolam;brotizolam
F15,Gait disturbance,True,1.0,4,complete_four_drug,diazepam;triazolam;brotizolam;lormetazepam,
F16,Ataxia,True,-0.39999999999999997,4,complete_four_drug,diazepam;triazolam;brotizolam;lormetazepam,
F16,Balance disorder,True,-0.7999999999999999,4,complete_four_drug,diazepam;triazolam;brotizolam;lormetazepam,
F16,Coordination abnormal,True,NA,2,insufficient_clinical_coverage_n_lt_3,diazepam;lormetazepam,triazolam;brotizolam
