target_chembl_id,pref_name,scope
CHEMBL5303569,GABA-A receptor; anion channel,gabaa_related_site_unverified
CHEMBL2111413,GABA A receptor alpha-2/beta-2/gamma-2,gabaa_related_site_unverified
CHEMBL2111327,GABA A receptor alpha-2/beta-2/gamma-2,gabaa_related_site_unverified
CHEMBL2111339,GABA A receptor alpha-3/beta-2/gamma-2,gabaa_related_site_unverified
CHEMBL2111343,GABA A receptor alpha-3/beta-2/gamma-2,gabaa_related_site_unverified
CHEMBL2111370,GABA A receptor alpha-6/beta-2/gamma-2,gabaa_related_site_unverified
CHEMBL2111374,GABA A receptor alpha-5/beta-3/gamma-2,gabaa_related_site_unverified
CHEMBL2111392,GABA A receptor alpha-1/beta-1/gamma-2,gabaa_related_site_unverified
CHEMBL2111365,GABA A receptor alpha-6/beta-2/gamma-2,gabaa_related_site_unverified
CHEMBL2111366,GABA A receptor alpha-4/beta-3/gamma-2,gabaa_related_site_unverified
CHEMBL5139,Peripheral-type benzodiazepine receptor,excluded_non_gabaa
CHEMBL2096683,Benzodiazepine receptors; peripheral & central,benzodiazepine_mixed_central_peripheral_review
CHEMBL5169104,Peripheral-type benzodiazepine receptor-associated protein 1,excluded_non_gabaa
