activity_id,qc_flags,molecule_chembl_id,source_request_id,source_json_pointer
870547,"[""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00010,/activities/99
874022,"[""source_potential_duplicate"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/0
874023,"[""missing_standard_units"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/1
874027,"[""missing_standard_units"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/2
874030,"[""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/3
874031,"[""missing_standard_units"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/4
874034,"[""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/5
874035,"[""missing_standard_units"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/6
904042,"[""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/7
904043,"[""missing_standard_units"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/8
922098,"[""source_potential_duplicate"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/9
922778,"[""source_potential_duplicate"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/10
927815,"[""source_potential_duplicate"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/11
930272,"[""source_potential_duplicate"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/12
936624,"[""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/13
936625,"[""missing_standard_units"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/14
968598,"[""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/15
988889,"[""source_potential_duplicate"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/16
988890,"[""missing_standard_units"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/17
992373,"[""source_potential_duplicate"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/18
997961,"[""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/19
997962,"[""missing_standard_units"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/20
998107,"[""source_potential_duplicate"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/21
1001855,"[""source_potential_duplicate"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/22
1001856,"[""missing_standard_units"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/23
1004279,"[""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/24
1020226,"[""source_potential_duplicate"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/25
1039765,"[""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/26
1039766,"[""missing_standard_units"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/27
1106447,"[""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/28
1106448,"[""missing_standard_value"", ""missing_standard_units"", ""missing_standard_relation"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/29
1145117,"[""source_potential_duplicate"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/30
1145122,"[""missing_standard_units"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/31
1145123,"[""missing_standard_units"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/32
1145124,"[""missing_standard_units"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/33
1161034,"[""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/34
1161711,"[""source_potential_duplicate"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/35
1161712,"[""missing_standard_units"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/36
1161713,"[""missing_standard_units"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/37
1176073,"[""source_potential_duplicate"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/38
1176074,"[""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/39
1279107,"[""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/40
1296375,"[""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/41
1296376,"[""missing_standard_value"", ""missing_standard_relation"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/42
1302881,"[""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/43
1412501,"[""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/44
1412502,"[""source_potential_duplicate"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/45
1412503,"[""source_potential_duplicate"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/46
1412504,"[""source_potential_duplicate"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/47
1412505,"[""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/48
1412506,"[""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/49
1412598,"[""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/50
1412599,"[""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/51
1505239,"[""source_potential_duplicate"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/52
1611107,"[""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/53
1667045,"[""source_potential_duplicate"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/54
1667046,"[""source_potential_duplicate"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/55
1667047,"[""source_potential_duplicate"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/56
1667048,"[""source_potential_duplicate"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/57
1667049,"[""source_potential_duplicate"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/58
1667050,"[""source_potential_duplicate"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/59
1667051,"[""source_potential_duplicate"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/60
1679889,"[""source_potential_duplicate"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/61
1679890,"[""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/62
1679913,"[""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/63
1681580,"[""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/64
1689389,"[""source_potential_duplicate"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/65
1700854,"[""source_potential_duplicate"", ""not_specific_protein_complex"", ""target_subunits_unspecified"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/66
1701383,"[""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/67
1825792,"[""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/68
1844027,"[""source_potential_duplicate"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/69
1844028,"[""source_potential_duplicate"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/70
1844029,"[""source_potential_duplicate"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/71
1844030,"[""source_potential_duplicate"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/72
1844031,"[""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/73
1844032,"[""source_potential_duplicate"", ""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/74
1876208,"[""no_structured_assay_parameters""]",CHEMBL12,request_00011,/activities/75
